,F1
115,63867.73722293205
116,474305.37425964465
117,1050294.239554089
118,2308570.5979410196
119,476087.32528650254
120,-819547.813950221
121,1181156.0960078512
122,667278.1482220282
123,1389735.0054580334
124,333275.95921831083
125,1067441.2380138324
126,-1315583.709094792
127,95323.34256559689
128,1458831.8185954895
129,-2629175.7680179756
130,-211976.4464529439
131,-294609.8661820091
132,1265509.675977123
133,-475360.3571623441
134,-17704.585234175276
135,-1976307.480371319
136,-8825.855313418155
137,-87282.3954253981
138,-158492.1052845695
139,1198276.558860791
140,1363691.377325842
141,206994.999215657
142,89211.69710790987
143,-780885.2116449776
144,-814174.1981513099
145,971145.6265806601
146,-140599.93706133578
147,521939.38356615324
148,-1412260.7172953356
149,-571832.9733542413
150,357087.5750264741
151,581477.1289335088
152,937993.3837631891
153,1204437.8747231879
154,-319162.9005863777
155,-534643.188122509
156,-40132.76456712663
157,-1821417.0164602636
158,-406737.9187374059
159,274133.32710918295
160,-855034.4975028215
161,-728016.7170172844
162,-262358.9258371303
163,-3296383.5453324807
164,811060.5715544274
165,-375761.27756164264
166,567344.2657851309
167,725656.0917357814
168,-436311.49131138664
169,-1347073.1079253634
170,624860.0661749594
171,-2673148.16420034
172,1496197.4848333737
173,inf
174,7624.835346324185
175,-497613.955102983
176,794206.9464989606
177,-195588.2048114509
178,1602118.2023523378
179,625513.7149284071
180,1141825.804669335
181,4984.384324189582
182,-101330.91963297837
183,-566781.6577249344
184,-1144474.425896451
185,-629791.9582689229
186,-87836.96442698763
187,725705.7628091486
188,1276061.0291267093
189,950249.5306056412
190,1316599.5869394217
191,492372.57382699917
192,78775.29477719286
193,-525923.820293981
194,467436.39237681346
195,-736565.1528509491
196,-480754.0535222337
197,-75562.52698198163
198,64079.839737572074
199,428744.0277124944
200,297220.74547216145
201,-362410.1511955754
202,162669.5513366308
203,-1475405.1021191715
204,382037.3904718898
205,287905.41890547506
206,217076.88598904217
207,909608.8536992262
208,857840.4787278473
209,-456377.5565267693
210,-1964306.9655923739
211,-833851.3362221197
212,77201.03202257333
213,-105503.77601391425
214,-1183788.8657930428
215,-1886750.3042045687
216,-470777.88354461227
217,-609389.611799195
218,-703946.0441660159
219,89823.55415033063
220,395879.8062042366
221,643583.8582087747
222,632618.7314131948
223,-9116.960634599398
224,-1194556.891257649
225,-602391.5233134736
226,42517.52241785914
227,-1692094.1209474772
228,1398468.4950242594
229,-267889.2822891316
230,384354.8159939274
231,1200736.7574039896
232,853961.1286351427
233,63819.841668324094
234,17466.351306618293
235,-45858.13242809391
236,1155205.765576047
237,-452150.09785443556
238,524041.66715968825
239,463812.34757523634
240,-121898.39913887756
241,-519787.0936645255
